Year,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Sugar_From_Other,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax,Gov_Subsidies,Education_Campaign,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield,Net_Sugar_Trade,Continent_Africa,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,PC1,PC2,Cluster
1972,261730647.1964963,8692.631695770477,12.827740613127013,3357412.8527425136,68.42296334439587,38.26921746486968,42.970759713562536,-49.99410709132252,171.9661817313026,35.148009279968015,11.495110716525868,34.09401744381169,5401669.795652303,2358929.271042554,3.864019768266975,0.0,0,0.0,34.50339771742932,3,52.43397166806272,-3042740.5246097487,0,0,1,0,0,0,-1.4389523282310912,-1.461086932716037,0
2003,173796468.34580186,6859.195959653106,21.362631896976296,3712749.978265858,55.43256397632052,38.26921746486968,16.223681465796925,-10.119865777115663,229.2380216227517,58.533611397715056,6.517478599081394,16.040118199295122,3418789.556300592,9522016.77974872,3.282100673620985,0.0,0,0.0,31.783066841386123,4,58.382054669102246,6275558.487822317,0,0,0,0,1,0,-0.3978401953741697,0.6484964761969852,1
1963,123636586.34430765,22075.950575281146,32.0774848972354,3965950.731205269,86.46612026687532,10.001415833464227,51.72063122518504,-48.188167325524574,203.2632520842974,87.892308618425,8.25268806637873,14.405740934261756,8987281.13311679,5451632.228378868,1.0976868992668534,0.0,0,0.0,51.55134462117129,1,33.73078282854928,-3535648.9047379214,0,0,1,0,0,0,-1.3905592503786695,-1.271742028312757,0
1965,284403369.14416385,3728.027391875704,47.64892956166691,14246846.471765522,69.80670676777729,34.00517305093511,43.573774077083954,-47.38565389579634,34.17728337187924,130.55806699896735,10.997905158031609,38.24432600462176,5179004.207147579,8048500.024167951,2.7612974437572197,0.0,0,0.0,80.38628077339419,2,84.29601871898039,2869495.8170203725,0,0,1,0,0,0,-1.3934918091910904,-1.3543265719842754,0
2010,15941265.930589449,40420.97396211827,23.214342819672883,392941.95378808025,63.77227768195504,23.105924022420897,53.54359519794356,-40.4217969023195,78.73348153444421,63.6072993259037,14.89387946257259,36.19097727267732,6463438.820762586,7062910.412238244,4.219430675047581,0.0,0,1.0,49.70115258819166,3,66.11081524070221,599471.5914756581,0,0,1,0,0,0,-1.409474503706013,-1.248896796118088,0
1997,91997984.17697288,45446.25690606431,66.42094719806886,6145419.18736069,53.897308896240766,29.017004229382792,56.94214655834641,-41.9898509567808,209.462631844879,181.9933953227087,14.891224555018177,14.447757002786496,2178783.363989428,8683157.88899315,1.169493976441065,0.0,0,0.0,77.15051455157482,1,96.445575628952,6504374.525003722,1,0,0,0,0,0,-0.31211406384285467,0.761265088379292,1
1965,84323272.64145313,12795.51187051468,19.31411487366899,1628629.3743207357,68.33073188303159,32.16264494422087,20.46089911464666,-20.954275941899127,163.21133680864006,52.92067475385304,11.98603622927468,10.97573042219161,2667298.7857485674,8357259.586570145,0.7246161042749701,0.0,0,0.0,81.81766310611425,4,33.73078282854928,5689960.800821577,0,1,0,0,0,0,1.663338518716021,-0.4328625290966476,2
1970,107504875.81931798,24532.73296070667,55.62894784739012,5980383.130292991,80.78691076242474,9.358697823633308,30.243786521102088,-20.38939510716014,24.02630835178797,152.42331710184894,8.87871793596176,19.810905086655563,9314142.64703797,600849.9998855998,1.0965792975468929,0.0,0,0.0,83.70253687178743,5,54.96245124533087,-6834876.492590643,0,0,0,1,0,0,-0.48981732156057484,1.9577077787402224,3
1986,69948126.6063923,26193.62168763017,28.698922827694773,2007435.887418676,78.68737373752325,32.9640373154151,24.2265709144968,-35.87798196743515,224.1226392358678,78.63504854788368,12.965214880101994,22.689658111336502,561911.1120769694,2956299.228348586,1.3323536123512254,0.0,1,0.0,45.862355546406015,5,69.93221263765659,2424780.1414939896,0,0,0,1,0,0,-0.5339196219602687,1.880355348459449,3
2013,80014587.79400532,47463.75142502616,59.171056996018336,4734547.734872002,69.86350601238405,15.59779592858014,4.655655184603651,9.883042874432164,33.03497423748587,162.12869616909026,5.698874378836113,10.891454341055862,3410436.531135503,5576824.318296787,3.3447551672479268,0.0,0,1.0,63.19252890299458,4,37.73348120120363,2166387.787161284,0,0,1,0,0,0,-1.3628253605637732,-1.2710956984542365,0
